time,raw_data,1_after_scaling,2_after_smoothing,3_after_bias,4_after_hysteresis,is_steady,bias
0.823,2.17507e+06,0,0,0,0,1,0
0.909,2.175e+06,-0.0441467,-0.00441467,0,0,1,-0.00441467
0.995,2.17507e+06,-0.000649216,-0.00447959,0,0,1,-0.00447959
1.081,2.17518e+06,0.0694661,0.00246702,0,0,1,0.00246702
1.165,2.17517e+06,0.0668692,0.00915394,0,0,1,0.00915394
1.251,2.17507e+06,0.00324608,0.00947855,0,0,1,0.00947855
1.337,2.17501e+06,-0.0370053,0.00577802,0,0,1,0.00577802
1.423,2.17509e+06,0.0136335,0.00714137,0,0,1,0.00714137
1.509,2.17509e+06,0.0110367,0.00824504,0,0,1,0.00824504
1.595,2.17498e+06,-0.0603771,0.00220733,0,0,1,0.00220733
1.681,2.17499e+06,-0.0519373,-0.00298639,0,0,1,-0.00298639
1.767,2.17505e+06,-0.0129843,0.000129843,0,0,1,0.000129843
1.853,2.17509e+06,0.0129843,0.0014932,0,0,1,0.0014932
1.939,2.17515e+06,0.0519373,-0.000259686,0,0,1,-0.000259686
2.023,2.1751e+06,0.0168796,-0.00525865,0,0,1,-0.00525865
2.109,2.17505e+06,-0.0116859,-0.00675184,0,0,1,-0.00675184
2.195,2.17508e+06,0.00454451,-0.00259686,4.33681e-19,0,1,-0.00259686
2.281,2.17517e+06,0.0636231,0.0024021,8.67362e-19,0,1,0.0024021
2.367,2.17507e+06,0.00259686,0.00155812,8.67362e-19,0,1,0.00155812
2.453,2.17506e+06,-0.00584294,0.00701153,1.73472e-18,0,1,0.00701153
2.539,2.17503e+06,-0.0253194,0.00967331,1.73472e-18,0,1,0.00967331
2.625,2.17505e+06,-0.0142827,0.00954347,1.73472e-18,0,1,0.00954347
2.711,2.17512e+06,0.0311624,0.0113613,1.73472e-18,0,1,0.0113613
2.797,2.17496e+06,-0.0675184,-0.000584294,8.67362e-19,0,1,-0.000584294
2.883,2.17491e+06,-0.100628,-0.0123351,1.73472e-18,0,1,-0.0123351
2.967,2.1751e+06,0.0214241,-0.0090241,1.73472e-18,0,1,-0.0090241
3.053,2.17509e+06,0.014932,-0.00798535,1.73472e-18,0,1,-0.00798535
3.139,2.17502e+06,-0.0305131,-0.017399,0,0,1,-0.017399
3.225,2.17507e+06,0.000649216,-0.0175937,0,0,1,-0.0175937
