time,raw_data,1_after_scaling,2_after_smoothing,3_after_bias,4_after_hysteresis,steady
0.83,1.52739e+06,0,0,0,0,1
0.92,1.52743e+06,0.0233718,0.00233718,0,0,1
1.01,1.52743e+06,0.0246702,0.0048042,0,0,1
1.09,1.52746e+06,0.0415498,0.00895918,0,0,1
1.18,1.52752e+06,0.0824504,0.0172042,0,0,1
1.26,1.52743e+06,0.0220733,0.0194116,0,0,1
1.35,1.52742e+06,0.0142827,0.0208398,0,0,1
1.44,1.52738e+06,-0.00908902,0.0199309,0,0,1
1.52,1.52743e+06,0.0207749,0.0220084,0,0,1
1.61,1.5274e+06,0.00649216,0.0226576,0,0,1
1.7,1.52736e+06,-0.0194765,0.02071,0,0,1
1.78,1.52739e+06,-0.00194765,0.018178,0,0,1
1.86,1.5274e+06,0.00584294,0.0162953,0,0,1
1.95,1.52747e+06,0.0519373,0.0173341,0,0,1
2.04,1.5275e+06,0.0714137,0.0162304,0,0,1
2.12,1.5275e+06,0.0675184,0.0207749,0,0,1
2.21,1.52746e+06,0.0428482,0.0236315,0,0,1
2.3,1.52743e+06,0.024021,0.0269425,0,0,1
2.38,1.52747e+06,0.0486912,0.0297341,0,0,1
2.47,1.52746e+06,0.0447959,0.0335645,0,0,1
2.55,1.52749e+06,0.0642724,0.0419393,0,0,1
2.64,1.52745e+06,0.0370053,0.0458346,0,0,1
2.72,1.52744e+06,0.0318116,0.0484315,0,0,1
2.81,1.52751e+06,0.0733614,0.0505739,0,0,1
2.9,1.52746e+06,0.042199,0.0476524,0,0,1
2.98,1.52747e+06,0.0506388,0.0459645,0,0,1
3.07,1.52744e+06,0.0305131,0.044731,0,0,1
3.15,1.52746e+06,0.0434975,0.0466786,0,0,1
3.24,1.52752e+06,0.0824504,0.0500545,0,0,1
3.33,1.52739e+06,-0.00454451,0.0451205,0,0,1
3.41,1.52737e+06,-0.0129843,0.0373948,0,0,1
3.5,1.5274e+06,0.00324608,0.0340189,0,0,1
3.58,1.52746e+06,0.0447959,0.0353173,0,0,1
3.67,1.52748e+06,0.0525865,0.0332398,0,0,1
3.75,1.52745e+06,0.0337592,0.0323959,0,0,1
3.84,1.52739e+06,-0.00129843,0.0272021,0,0,1
3.93,1.52738e+06,-0.0116859,0.0229822,0,0,1
4.01,1.52739e+06,-0.00454451,0.018178,0,0,1
4.1,1.52744e+06,0.0292147,0.0128545,0,0,1
4.18,1.52744e+06,0.03311,0.0166199,0,0,1
4.27,1.52744e+06,0.03311,0.0212294,0,0,1
4.35,1.52741e+06,0.0129843,0.0222032,0,0,1
4.44,1.52738e+06,-0.0084398,0.0168796,0,0,1
4.53,1.52738e+06,-0.00714137,0.0109068,0,0,1
4.61,1.52738e+06,-0.0116859,0.00636231,0,0,1
4.7,1.52748e+06,0.0545341,0.0119456,0,0,1
4.78,1.52751e+06,0.0759582,0.02071,0,0,1
4.87,1.52742e+06,0.0194765,0.0231121,0,0,1
4.96,1.52742e+06,0.0188273,0.0220733,0,0,1
5.04,1.52749e+06,0.0616755,0.0249299,0,0,1
5.13,1.52747e+06,0.051288,0.0267477,0,0,1
5.21,1.52743e+06,0.0233718,0.0277864,0,0,1
5.3,1.5274e+06,0.00324608,0.028955,0,0,1
5.38,1.52733e+06,-0.0409006,0.0255791,0,0,1
5.47,1.52739e+06,0,0.0267477,0,0,1
5.56,1.5274e+06,0.00454451,0.0217487,0,0,1
5.64,1.52737e+06,-0.0142827,0.0127246,0,0,1
5.73,1.52734e+06,-0.0350577,0.00727122,0,0,1
5.81,1.52733e+06,-0.0441467,0.000973824,0,0,1
5.9,1.52742e+06,0.0168796,-0.00350577,0,0,1
5.98,1.52741e+06,0.00973824,-0.00766075,0,0,1
6.07,1.52735e+06,-0.0285655,-0.0128545,0,0,1
6.16,1.52739e+06,-0.00259686,-0.0134388,0,0,1
6.24,1.52744e+06,0.0311624,-0.00623247,0,0,1
6.33,1.5274e+06,0.00194765,-0.00603771,0,0,1
6.41,1.52736e+06,-0.0188273,-0.00837488,0,0,1
6.5,1.52739e+06,-0.00194765,-0.00714137,0,0,1
6.59,1.52741e+06,0.00908902,-0.00272671,0,0,1
6.67,1.5274e+06,0.00129843,0.0018178,-2.1684e-19,0,1
6.76,1.52741e+06,0.0103875,0.00116859,-2.1684e-19,0,1
6.84,1.52745e+06,0.0370053,0.00389529,0,0,1
6.93,1.52741e+06,0.0103875,0.00779059,0,0,1
7.01,1.52742e+06,0.0201257,0.0100628,0,0,1
7.1,1.52744e+06,0.0292147,0.00986808,0,0,1
7.19,1.52743e+06,0.0220733,0.0118806,0,0,1
7.27,1.52744e+06,0.0285655,0.0166199,0,0,1
7.36,1.5274e+06,0.00389529,0.0172042,0,0,1
7.44,1.52738e+06,-0.00584294,0.015711,0,0,1
7.53,1.52737e+06,-0.0155812,0.0140231,0,0,1
7.61,1.52738e+06,-0.00908902,0.0120754,0,0,1
7.7,1.52744e+06,0.0292147,0.0112964,0,0,1
7.79,1.52738e+06,-0.0116859,0.00908902,0,0,1
7.87,1.52741e+06,0.00908902,0.00798535,0,0,1
7.96,1.52745e+06,0.0389529,0.00895918,0,0,1
8.04,1.52744e+06,0.0272671,0.00947855,0,0,1
8.13,1.52743e+06,0.0259686,0.00921886,0,0,1
8.22,1.52742e+06,0.0142827,0.0102576,0,0,1
8.3,1.52741e+06,0.00973824,0.0118157,0,0,1
8.39,1.52739e+06,-0.00454451,0.0129194,0,0,1
8.47,1.52732e+06,-0.0506388,0.00876441,0,0,1
8.56,1.52736e+06,-0.024021,0.00344084,0,0,1
8.64,1.5274e+06,0.00584294,0.00519373,0,0,1
