time,raw_data,1_after_scaling,2_after_smoothing,3_after_hysteresis
0,1.53151e+06,0,0,0
0.01,1.53153e+06,0.0128068,0.00128068,0
0.09,1.5315e+06,-0.00640342,0.000640342,0
0.18,1.53104e+06,-0.251868,-0.0245464,0
0.26,1.53066e+06,-0.451441,-0.0696905,0
0.35,1.53062e+06,-0.473319,-0.117022,-0.117022
0.44,1.53059e+06,-0.489328,-0.165955,-0.117022
0.52,1.53055e+06,-0.509072,-0.216862,-0.117022
0.61,1.53052e+06,-0.527748,-0.527748,-0.527748
0.69,1.53053e+06,-0.520811,-0.520811,-0.527748
0.78,1.53052e+06,-0.526681,-0.526681,-0.527748
0.86,1.53062e+06,-0.471718,-0.471718,-0.527748
0.95,1.53066e+06,-0.451441,-0.451441,-0.527748
1.04,1.53066e+06,-0.452508,-0.452508,-0.527748
1.12,1.53062e+06,-0.475987,-0.475987,-0.527748
1.21,1.53054e+06,-0.514941,-0.514941,-0.527748
1.29,1.53064e+06,-0.460512,-0.460512,-0.527748
1.38,1.53066e+06,-0.453042,-0.453042,-0.527748
1.46,1.53066e+06,-0.450907,-0.477855,-0.527748
1.55,1.53069e+06,-0.434899,-0.469264,-0.527748
1.64,1.53062e+06,-0.475987,-0.464194,-0.527748
1.72,1.53056e+06,-0.502668,-0.467289,-0.527748
1.81,1.53056e+06,-0.503202,-0.472465,-0.527748
1.89,1.53058e+06,-0.495731,-0.476788,-0.527748
1.98,1.53061e+06,-0.479189,-0.477108,-0.527748
2.07,1.53066e+06,-0.451441,-0.470758,-0.527748
2.15,1.53067e+06,-0.445037,-0.46921,-0.527748
2.24,1.53068e+06,-0.440235,-0.46793,-0.527748
2.32,1.53064e+06,-0.46318,-0.469157,-0.527748
2.41,1.53062e+06,-0.47492,-0.473159,-0.527748
2.49,1.5306e+06,-0.482391,-0.473799,-0.527748
2.58,1.53062e+06,-0.472785,-0.470811,-0.527748
2.67,1.53064e+06,-0.460512,-0.466542,-0.527748
2.75,1.5306e+06,-0.485592,-0.465528,-0.527748
2.84,1.53061e+06,-0.480256,-0.465635,-0.527748
2.92,1.53058e+06,-0.494664,-0.469957,-0.527748
3.01,1.53062e+06,-0.47492,-0.472946,-0.527748
3.09,1.5306e+06,-0.482391,-0.477161,-0.527748
3.18,1.5306e+06,-0.483991,-0.479242,-0.527748
3.27,1.53061e+06,-0.479189,-0.479669,-0.527748
3.35,1.53068e+06,-0.442903,-0.47572,-0.527748
3.44,1.53064e+06,-0.464248,-0.474867,-0.527748
3.52,1.53058e+06,-0.495731,-0.478388,-0.527748
3.61,1.53056e+06,-0.508004,-0.48063,-0.527748
3.7,1.53055e+06,-0.509072,-0.483511,-0.527748
3.78,1.53056e+06,-0.503735,-0.484418,-0.527748
3.87,1.53057e+06,-0.497866,-0.486713,-0.527748
3.95,1.53061e+06,-0.480256,-0.486499,-0.527748
4.04,1.53066e+06,-0.451974,-0.483298,-0.527748
4.12,1.5307e+06,-0.432231,-0.478602,-0.527748
4.21,1.53065e+06,-0.459445,-0.480256,-0.527748
4.3,1.53058e+06,-0.493063,-0.483138,-0.527748
4.38,1.5306e+06,-0.484525,-0.482017,-0.527748
4.47,1.53063e+06,-0.468517,-0.478068,-0.527748
4.55,1.5307e+06,-0.432764,-0.470438,-0.527748
4.64,1.53066e+06,-0.453042,-0.465368,-0.527748
4.72,1.53057e+06,-0.501601,-0.465742,-0.527748
4.81,1.53061e+06,-0.479189,-0.465635,-0.527748
4.9,1.5306e+06,-0.484525,-0.46889,-0.527748
4.98,1.53054e+06,-0.51334,-0.477001,-0.527748
5.07,1.53054e+06,-0.515475,-0.482604,-0.527748
5.15,1.53058e+06,-0.496265,-0.482924,-0.527748
5.24,1.5306e+06,-0.485059,-0.482978,-0.527748
5.33,1.53058e+06,-0.495731,-0.485699,-0.527748
5.41,1.53059e+06,-0.487193,-0.491142,-0.527748
5.5,1.53058e+06,-0.49413,-0.495251,-0.527748
5.58,1.53063e+06,-0.46905,-0.491996,-0.527748
5.67,1.53065e+06,-0.455176,-0.489594,-0.527748
5.75,1.53059e+06,-0.491462,-0.490288,-0.527748
5.84,1.53058e+06,-0.494664,-0.48842,-0.527748
5.93,1.53062e+06,-0.47492,-0.484365,-0.527748
6.01,1.5306e+06,-0.485059,-0.483244,-0.527748
6.1,1.53056e+06,-0.507471,-0.485486,-0.527748
6.18,1.53047e+06,-0.553362,-0.491249,-0.527748
6.27,1.53051e+06,-0.530416,-0.495571,-0.527748
6.35,1.53054e+06,-0.514408,-0.497599,-0.527748
6.44,1.53057e+06,-0.498933,-0.500587,-0.527748
6.53,1.53064e+06,-0.463714,-0.501441,-0.527748
6.61,1.53062e+06,-0.471185,-0.499413,-0.527748
6.7,1.53062e+06,-0.471718,-0.497118,-0.527748
6.78,1.53069e+06,-0.435432,-0.49317,-0.527748
6.87,1.53064e+06,-0.459979,-0.490662,-0.527748
6.96,1.5306e+06,-0.485059,-0.48842,-0.527748
7.04,1.53057e+06,-0.501601,-0.483244,-0.527748
7.13,1.5306e+06,-0.482924,-0.478495,-0.527748
7.21,1.53061e+06,-0.480256,-0.47508,-0.527748
7.3,1.53056e+06,-0.503202,-0.475507,-0.527748
7.39,1.5306e+06,-0.486126,-0.477748,-0.527748
7.47,1.53056e+06,-0.506403,-0.48127,-0.527748
7.56,1.53062e+06,-0.47492,-0.48159,-0.527748
7.64,1.53064e+06,-0.462113,-0.484258,-0.527748
7.73,1.5306e+06,-0.481323,-0.486393,-0.527748
7.82,1.53057e+06,-0.498933,-0.48778,-0.527748
7.9,1.53049e+06,-0.542689,-0.491889,-0.527748
7.99,1.5305e+06,-0.53682,-0.497279,-0.527748
8.07,1.53052e+06,-0.527748,-0.502028,-0.527748
8.16,1.53053e+06,-0.520811,-0.503789,-0.527748
8.24,1.53055e+06,-0.512807,-0.506457,-0.527748
8.33,1.53054e+06,-0.51334,-0.50715,-0.527748
8.42,1.53059e+06,-0.490928,-0.508751,-0.527748
