time,data
0.823,2175069
0.909,2175001
0.995,2175068
1.081,2175176
1.165,2175172
1.251,2175074
1.337,2175012
1.423,2175090
1.509,2175086
1.595,2174976
1.681,2174989
1.767,2175049
1.853,2175089
1.939,2175149
2.023,2175095
2.109,2175051
2.195,2175076
2.281,2175167
2.367,2175073
2.453,2175060
2.539,2175030
2.625,2175047
2.711,2175117
2.797,2174965
2.883,2174914
2.967,2175102
3.053,2175092
3.139,2175022
3.225,2175070
3.311,2175130
3.397,2175180
3.483,2175092
3.569,2175111
3.655,2175142
3.741,2175073
3.827,2175042
3.911,2175009
3.997,2174987
4.083,2175127
4.169,2175154
4.255,2175105
4.341,2175169
4.427,2175140
4.513,2175073
4.599,2175091
4.685,2175068
4.769,2175012
4.855,2175067
4.941,2175122
5.027,2175106
5.113,2175039
5.199,2175027
5.285,2175019
5.371,2175047
5.457,2175036
5.543,2175101
5.629,2175155
5.713,2175133
5.799,2175120
5.885,2175155
5.971,2175117
6.057,2175055
6.144,2174997
6.23,2174995
6.316,2175088
6.402,2175082
6.488,2175011
6.572,2175004
6.658,2175025
6.744,2175063
6.83,2175096
6.916,2175070
7.002,2175032
7.088,2175117
7.174,2175130
7.26,2175023
7.346,2175021
7.43,2175001
7.516,2175035
7.602,2175083
7.688,2175108
7.774,2175050
7.86,2174971
7.946,2175030
8.032,2175058
8.118,2174979
8.204,2174956
8.29,2175001
8.374,2175065
8.46,2175032
8.546,2175050
8.632,2175109
8.718,2175073
8.804,2174901
8.89,2174924
8.976,2174956
9.062,2174993
9.148,2174944
9.234,2174877
9.318,2175079
9.404,2175201
9.49,2175124
9.576,2175024
9.662,2175032
9.748,2175011
9.834,2175073
9.92,2174983
10.006,2174942
10.092,2174917
10.178,2174929
10.262,2175001
10.348,2175059
10.434,2174975
10.52,2174994
10.606,2175052
10.692,2175036
10.778,2174997
10.864,2174984
10.95,2174947
11.036,2174962
11.12,2174960
11.206,2174998
11.292,2175062
11.378,2175024
11.464,2175049
11.55,2175139
11.636,2175092
11.722,2175052
11.808,2175009
11.894,2175191
11.98,2175865
12.064,2176916
12.15,2178555
12.236,2180327
12.322,2182863
12.408,2185682
12.494,2188474
12.58,2191073
12.666,2193068
12.752,2194753
12.838,2196465
12.922,2198484
13.008,2200982
13.094,2204058
13.18,2207339
13.266,2210491
13.352,2213596
13.438,2216121
13.524,2218246
13.611,2220008
13.697,2221728
13.783,2223756
13.867,2226061
13.953,2229226
14.039,2232810
14.125,2236287
14.211,2239760
14.297,2242434
14.383,2244621
14.469,2246146
14.555,2247514
14.641,2249010
14.725,2250683
14.811,2252267
14.897,2254118
14.983,2255904
15.069,2256985
15.155,2256920
15.241,2256592
15.327,2256463
15.413,2256485
15.499,2256520
15.583,2256385
15.669,2256392
15.755,2256499
15.841,2256436
15.927,2256240
16.013,2250747
16.099,2243491
16.185,2292389
16.271,2308444
16.357,2248048
16.443,2208928
16.527,2241568
16.613,2256843
16.699,2198175
16.785,2170521
16.871,2227132
16.957,2220230
17.043,2185391
17.129,2209691
17.215,2244837
17.301,2227484
17.385,2205621
17.471,2237869
17.557,2258565
17.643,2228910
17.729,2237939
17.815,2278531
17.901,2264835
17.987,2262179
18.073,2264204
18.159,2260527
18.243,2255542
18.329,2256673
18.415,2256037
18.501,2256723
18.587,2256022
18.673,2256346
18.759,2256335
18.845,2256480
18.931,2256265
19.017,2256385
19.103,2256342
19.187,2256215
19.273,2256242
19.359,2256203
19.445,2256290
19.531,2256287
19.617,2256248
19.703,2256358
19.789,2256303
19.875,2256282
19.961,2256287
20.045,2256302
20.131,2256272
20.217,2256273
20.303,2256303
20.389,2256190
20.475,2256314
20.561,2256249
20.647,2256304
20.733,2256240
20.819,2256286
20.905,2256178
20.989,2256259
21.075,2256277
21.161,2256234
21.248,2256197
21.334,2256289
21.42,2256264
21.506,2256401
21.592,2256331
21.678,2256202
21.764,2256267
21.848,2256174
21.934,2256242
22.02,2256210
22.106,2256220
22.192,2256250
22.278,2256322
22.364,2256267
22.45,2256205
22.536,2256167
22.622,2256263
22.706,2256254
22.792,2256367
22.878,2256295
22.964,2256240
23.05,2256265
23.136,2256233
23.222,2256265
23.308,2256241
23.394,2256227
23.48,2256260
23.566,2256210
23.65,2256271
23.736,2256285
23.822,2256160
23.908,2256231
23.994,2256281
24.08,2256315
24.166,2256365
24.252,2256343
24.338,2256354
24.424,2256101
24.508,2256067
24.594,2256257
24.68,2256192
24.766,2256137
24.852,2256218
24.938,2256272
25.024,2256281
25.11,2256096
25.196,2256189
25.282,2256142
25.368,2256203
25.452,2256248
25.538,2256197
25.624,2256137
25.71,2256160
25.796,2256083
25.882,2256113
25.968,2256196
26.054,2256213
26.14,2256198
26.226,2256176
26.31,2256401
26.396,2256212
26.482,2256110
26.568,2256230
26.654,2256199
26.74,2256254
26.826,2256108
26.912,2256202
26.998,2256157
27.084,2256247
27.17,2256170
27.254,2256164
27.34,2256142
27.426,2256150
27.512,2256243
27.598,2256160
27.684,2256185
27.77,2256261
27.856,2256112
27.942,2256188
28.028,2256221
28.112,2256199
28.198,2256094
28.284,2256216
28.37,2256120
28.456,2256251
28.542,2256149
28.628,2256179
28.715,2256208
28.801,2256117
28.887,2256253
28.973,2256176
29.057,2256214
29.143,2256110
29.229,2256158
29.315,2256117
29.401,2256246
29.487,2256295
29.573,2256150
29.659,2256247
29.745,2256257
29.831,2256135
29.915,2256258
30.001,2256172
30.087,2256186
30.173,2256204
30.259,2256134
30.345,2256150
30.431,2256085
30.517,2256190
30.603,2256154
30.689,2256202
30.775,2256134
30.859,2256207
30.945,2256062
31.031,2256107
31.117,2256089
31.203,2256060
31.289,2256201
31.375,2256092
31.461,2256151
31.547,2256146
31.633,2256137
31.719,2256122
31.803,2256091
31.889,2256231
31.975,2256168
32.061,2256249
32.147,2256239
32.233,2256126
32.319,2256181
32.405,2256086
32.491,2256197
32.577,2256199
32.661,2256152
32.747,2256117
32.833,2256127
32.919,2256275
33.005,2256140
33.091,2256127
33.177,2256081
33.263,2256006
33.349,2256157
33.435,2256056
33.521,2256115
33.605,2256133
33.691,2256086
33.777,2256170
33.863,2256063
33.949,2256142
34.035,2256085
34.121,2256070
34.207,2256180
34.293,2256062
34.379,2256110
34.465,2256167
34.549,2256086
34.635,2256160
34.721,2256041
34.807,2256069
34.893,2256090
34.979,2256088
35.065,2256235
35.151,2256194
35.237,2256118
35.323,2256158
35.407,2256090
35.493,2256151
35.579,2256146
35.665,2256038
35.751,2256109
35.837,2256107
35.923,2256209
36.009,2256173
36.096,2256077
36.182,2256102
36.268,2256056
36.352,2256068
36.438,2256130
36.524,2256038
36.61,2256081
36.696,2256211
36.782,2256094
36.868,2256073
36.954,2256012
37.04,2256101
37.126,2256161
37.21,2255992
37.296,2256017
37.382,2256150
37.468,2256201
37.554,2256228
37.64,2256161
37.726,2256057
37.812,2256192
37.898,2256140
37.984,2256054
38.07,2256134
38.154,2256078
38.24,2256105
38.326,2256117
38.412,2256047
38.498,2256121
38.584,2256134
38.67,2256034
38.756,2256091
38.842,2256051
38.928,2255971
39.012,2256106
39.098,2256039
39.184,2256116
39.27,2256180
39.356,2256118
39.442,2256108
39.528,2256123
39.614,2256082
39.7,2256095
39.786,2256116
39.872,2256085
39.956,2256136
40.042,2256218
40.128,2256110
40.214,2256085
40.3,2256147
40.386,2256057
40.472,2256099
40.558,2256180
40.644,2256024
40.73,2256070
40.814,2256104
40.9,2256087
40.986,2256051
41.072,2256143
41.158,2256081
41.244,2256030
41.33,2256169
41.416,2256098
41.502,2256020
41.588,2256062
41.672,2256063
41.758,2255998
41.844,2256059
41.93,2256112
42.016,2256133
42.102,2256160
42.188,2256158
42.274,2256049
42.36,2256089
42.446,2256063
42.532,2256028
42.616,2256053
42.702,2256160
42.788,2256035
42.874,2256083
42.96,2256175
43.046,2256072
43.132,2256032
43.218,2256143
43.304,2256135
43.39,2256103
43.476,2256101
43.56,2256088
43.646,2256013
43.732,2255986
43.819,2256113
43.905,2256037
43.991,2256058
44.077,2256138
44.163,2256084
44.249,2256064
44.335,2256015
44.419,2255984
44.505,2255975
44.591,2256034
44.677,2256112
44.763,2256014
44.849,2255953
44.935,2256022
45.021,2255986
45.107,2256000
45.193,2256143
