time,data
0.00,1531507
0.01,1531531
0.09,1531495
0.18,1531035
0.26,1530661
0.35,1530620
0.44,1530590
0.52,1530553
0.61,1530518
0.69,1530531
0.78,1530520
0.86,1530623
0.95,1530661
1.04,1530659
1.12,1530615
1.21,1530542
1.29,1530644
1.38,1530658
1.46,1530662
1.55,1530692
1.64,1530615
1.72,1530565
1.81,1530564
1.89,1530578
1.98,1530609
2.07,1530661
2.15,1530673
2.24,1530682
2.32,1530639
2.41,1530617
2.49,1530603
2.58,1530621
2.67,1530644
2.75,1530597
2.84,1530607
2.92,1530580
3.01,1530617
3.09,1530603
3.18,1530600
3.27,1530609
3.35,1530677
3.44,1530637
3.52,1530578
3.61,1530555
3.70,1530553
3.78,1530563
3.87,1530574
3.95,1530607
4.04,1530660
4.12,1530697
4.21,1530646
4.30,1530583
4.38,1530599
4.47,1530629
4.55,1530696
4.64,1530658
4.72,1530567
4.81,1530609
4.90,1530599
4.98,1530545
5.07,1530541
5.15,1530577
5.24,1530598
5.33,1530578
5.41,1530594
5.50,1530581
5.58,1530628
5.67,1530654
5.75,1530586
5.84,1530580
5.93,1530617
6.01,1530598
6.10,1530556
6.18,1530470
6.27,1530513
6.35,1530543
6.44,1530572
6.53,1530638
6.61,1530624
6.70,1530623
6.78,1530691
6.87,1530645
6.96,1530598
7.04,1530567
7.13,1530602
7.21,1530607
7.30,1530564
7.39,1530596
7.47,1530558
7.56,1530617
7.64,1530641
7.73,1530605
7.82,1530572
7.90,1530490
7.99,1530501
8.07,1530518
8.16,1530531
8.24,1530546
8.33,1530545
8.42,1530587
8.50,1530571
8.59,1530581
8.67,1530587
8.76,1530604
8.84,1530603
8.93,1530575
9.02,1530556
9.10,1530604
9.19,1530607
9.27,1530620
9.36,1530656
9.44,1530624
9.53,1530602
9.61,1530604
9.70,1530587
9.79,1530622
9.87,1530674
9.96,1530668
10.05,1530572
10.13,1530579
10.22,1530559
10.30,1530545
10.39,1530607
10.47,1530675
10.56,1530622
10.65,1530565
10.73,1530578
10.82,1530580
10.90,1530592
10.99,1530613
11.07,1530633
11.16,1530558
11.25,1530602
11.33,1530579
11.42,1530579
11.50,1530562
11.59,1530536
11.68,1530650
11.76,1530654
11.85,1530642
11.93,1530636
12.02,1530638
12.10,1530651
12.19,1530620
12.27,1530586
12.36,1530586
12.45,1530572
12.53,1530610
12.62,1530651
12.70,1530587
12.79,1530545
12.88,1530550
12.96,1530591
13.05,1530554
13.13,1530502
13.22,1530545
13.31,1530621
13.39,1530642
13.48,1530590
13.56,1530581
13.65,1530558
13.73,1530555
13.82,1530543
13.90,1530563
13.99,1530570
14.08,1530593
14.16,1530657
14.25,1530658
14.33,1530633
14.42,1530612
14.51,1530575
14.59,1530585
14.68,1530566
14.76,1530591
14.85,1530648
14.94,1530628
15.02,1530690
15.11,1530690
15.19,1530656
15.28,1530588
15.36,1530525
15.45,1530529
15.54,1530585
15.62,1530557
15.71,1530585
15.79,1530594
15.88,1530605
15.96,1530616
16.05,1530617
16.14,1530532
16.22,1530599
16.31,1530637
16.39,1530616
16.48,1530609
16.57,1530585
16.65,1530602
16.74,1530576
16.82,1530586
16.91,1530582
16.99,1530511
17.08,1530547
17.17,1530631
17.25,1530596
17.34,1530662
17.42,1530643
17.51,1530624
17.59,1530616
17.68,1530522
17.77,1530595
17.85,1530564
17.94,1530499
18.02,1530610
18.11,1530621
18.20,1530630
18.28,1530566
18.37,1530514
18.45,1530526
18.54,1530560
18.62,1530547
18.71,1530581
18.80,1530617
18.88,1530660
18.97,1530598
19.05,1530586
19.14,1530611
19.22,1530595
19.31,1530601
19.40,1530595
19.48,1530630
19.57,1530584
19.65,1530483
19.74,1530504
19.83,1530562
19.91,1530538
20.00,1530546
20.08,1530574
20.17,1530523
20.25,1530567
20.34,1530579
20.43,1530618
20.51,1530594
20.60,1530655
20.68,1530684
20.77,1530615
20.85,1530642
20.94,1530648
21.03,1530657
21.11,1530592
21.20,1530538
21.28,1530592
21.37,1530598
21.46,1530608
21.54,1530622
21.63,1530620
21.71,1530578
21.80,1530589
21.88,1530666
21.97,1530627
22.06,1530606
22.14,1530679
22.23,1530646
22.31,1530628
22.40,1530647
22.48,1530608
22.57,1530567
22.66,1530577
22.74,1530656
22.83,1530677
22.92,1530592
23.00,1530594
23.09,1530574
23.17,1530624
23.26,1530666
23.34,1530666
23.43,1530611
23.51,1530610
23.60,1530621
23.69,1530561
23.77,1530568
23.86,1530585
23.94,1530536
24.03,1530534
24.11,1530585
24.20,1530575
24.29,1530559
24.37,1530551
24.46,1530576
24.54,1530577
24.63,1530515
24.72,1530556
24.80,1530620
24.89,1530616
24.97,1530569
25.06,1530627
25.14,1530631
25.23,1530569
25.32,1530607
25.40,1530588
25.49,1530614
25.57,1530628
25.66,1530614
25.75,1530559
25.83,1530537
25.92,1530577
26.00,1530612
26.09,1530600
26.17,1530609
26.26,1530615
26.35,1530605
26.43,1530574
26.52,1530622
26.60,1530642
26.69,1530564
26.77,1530533
26.86,1530556
26.95,1530547
27.03,1530541
27.12,1530551
27.20,1530590
27.29,1530601
27.37,1530612
27.46,1530510
27.55,1530532
27.63,1530601
27.72,1530615
27.80,1530588
27.89,1530602
27.98,1530607
28.06,1530543
28.15,1530549
28.23,1530559
28.32,1530589
28.40,1530646
28.49,1530591
28.58,1530599
28.66,1530585
28.75,1530629
28.83,1530565
28.92,1530578
29.00,1530627
29.09,1530593
29.18,1530591
29.26,1530637
29.35,1530627
29.43,1530634
29.52,1530642
29.60,1530579
