time,data
0.83,1527394
0.92,1527430
1.01,1527432
1.09,1527458
1.18,1527521
1.26,1527428
1.35,1527416
1.44,1527380
1.52,1527426
1.61,1527404
1.70,1527364
1.78,1527391
1.86,1527403
1.95,1527474
2.04,1527504
2.12,1527498
2.21,1527460
2.30,1527431
2.38,1527469
2.47,1527463
2.55,1527493
2.64,1527451
2.72,1527443
2.81,1527507
2.90,1527459
2.98,1527472
3.07,1527441
3.15,1527461
3.24,1527521
3.33,1527387
3.41,1527374
3.50,1527399
3.58,1527463
3.67,1527475
3.75,1527446
3.84,1527392
3.93,1527376
4.01,1527387
4.10,1527439
4.18,1527445
4.27,1527445
4.35,1527414
4.44,1527381
4.53,1527383
4.61,1527376
4.70,1527478
4.78,1527511
4.87,1527424
4.96,1527423
5.04,1527489
5.13,1527473
5.21,1527430
5.30,1527399
5.38,1527331
5.47,1527394
5.56,1527401
5.64,1527372
5.73,1527340
5.81,1527326
5.90,1527420
5.98,1527409
6.07,1527350
6.16,1527390
6.24,1527442
6.33,1527397
6.41,1527365
6.50,1527391
6.59,1527408
6.67,1527396
6.76,1527410
6.84,1527451
6.93,1527410
7.01,1527425
7.10,1527439
7.19,1527428
7.27,1527438
7.36,1527400
7.44,1527385
7.53,1527370
7.61,1527380
7.70,1527439
7.79,1527376
7.87,1527408
7.96,1527454
8.04,1527436
8.13,1527434
8.22,1527416
8.30,1527409
8.39,1527387
8.47,1527316
8.56,1527357
8.64,1527403
8.73,1527405
8.82,1527378
8.90,1527355
8.99,1527301
9.07,1527306
9.16,1527305
9.24,1527314
9.33,1527340
9.42,1527319
9.50,1527235
9.59,1527324
9.67,1527468
9.76,1527454
9.85,1527390
9.93,1527371
10.02,1527377
10.10,1527461
10.19,1527468
10.27,1527413
10.36,1527415
10.45,1527435
10.53,1527397
10.62,1527374
10.70,1527372
10.79,1527413
10.87,1527414
10.96,1527348
11.05,1527399
11.13,1527459
11.22,1527477
11.30,1527462
11.39,1527490
11.48,1527462
11.56,1527467
11.65,1527451
11.73,1527497
11.82,1527500
11.90,1527473
11.99,1527476
12.08,1527428
12.16,1527386
12.25,1527392
12.34,1527361
12.42,1527354
12.51,1527433
12.59,1527445
12.68,1527411
12.76,1527353
12.85,1527420
12.94,1527492
13.02,1527446
13.11,1527405
13.19,1527403
13.28,1527405
13.36,1527391
13.45,1527441
13.53,1527472
13.62,1527469
13.71,1527478
13.79,1527473
13.88,1527408
13.97,1527411
14.05,1527469
14.14,1527404
14.22,1527393
14.31,1527358
14.39,1527423
14.48,1527421
14.56,1527456
14.65,1527501
14.74,1527379
14.82,1527445
14.91,1527508
14.99,1527498
15.08,1527503
15.17,1527484
15.25,1527414
15.34,1527429
15.42,1527394
15.51,1527388
15.60,1527435
15.68,1527463
15.77,1527499
15.85,1527460
15.94,1527474
16.02,1527478
16.11,1527458
16.19,1527507
16.28,1527492
16.37,1527388
16.45,1527365
16.54,1527365
16.62,1527443
16.71,1527514
16.79,1527482
16.88,1527459
16.97,1527426
17.05,1527420
17.14,1527440
17.22,1527371
17.31,1527417
17.40,1527435
17.48,1527482
17.57,1527481
17.65,1527549
17.74,1527495
17.82,1527448
17.91,1527456
18.00,1527422
18.08,1527395
18.17,1527427
18.25,1527444
18.34,1527471
18.42,1527406
18.51,1527434
18.60,1527470
18.68,1527436
18.77,1527400
18.85,1527475
18.94,1527514
19.03,1527493
19.11,1527437
19.20,1527417
19.28,1527388
19.37,1527415
19.46,1527421
19.54,1527337
19.63,1527364
19.71,1527442
19.80,1527476
19.88,1527427
19.97,1527410
20.06,1527508
20.14,1527495
20.23,1527411
20.31,1527435
20.40,1527463
20.49,1527478
20.57,1527432
20.66,1527464
20.74,1527441
20.83,1527449
20.91,1527439
21.00,1527419
21.09,1527395
21.17,1527473
21.26,1527454
21.34,1527441
21.43,1527439
21.52,1527366
21.60,1527435
21.69,1527473
21.77,1527441
21.86,1527463
21.94,1527463
22.03,1527415
22.12,1527453
22.20,1527498
22.29,1527499
22.37,1527470
22.46,1527421
22.54,1527412
22.63,1527421
22.72,1527401
22.80,1527450
22.89,1527459
22.97,1527427
23.06,1527468
23.15,1527423
23.23,1527430
23.32,1527455
23.40,1527417
23.49,1527378
23.57,1527397
23.66,1527428
23.75,1527449
23.83,1527445
23.92,1527437
24.00,1527416
24.09,1527385
24.17,1527381
24.26,1527423
24.35,1527428
24.43,1527406
24.52,1527407
24.60,1527404
24.69,1527446
24.78,1527496
24.86,1527456
24.95,1527437
25.03,1527421
25.12,1527440
25.20,1527445
25.29,1527448
25.38,1527399
25.46,1527437
25.55,1527375
25.63,1527424
25.72,1527495
25.80,1527455
25.89,1527462
25.98,1527522
26.06,1527453
26.15,1527394
26.23,1527457
26.32,1527505
26.41,1527404
26.49,1527381
26.58,1527352
26.66,1527407
26.75,1527502
26.83,1527475
26.92,1527436
27.01,1527464
27.09,1527404
27.18,1527413
27.26,1527479
27.35,1527474
27.43,1527435
27.52,1527410
27.61,1527387
27.69,1527486
27.78,1527452
27.86,1527418
27.95,1527445
28.04,1527468
28.12,1527444
28.21,1527434
28.29,1527430
28.38,1527394
28.46,1527405
28.55,1527379
28.64,1527464
28.72,1527435
28.81,1527431
28.89,1527428
28.98,1527416
29.06,1527384
29.15,1527394
29.24,1527442
29.32,1527456
29.41,1527399
29.50,1527429
29.58,1527417
29.67,1527451
29.75,1527417
29.84,1527411
29.92,1527493
30.01,1527481
30.09,1527408
30.18,1527419
30.27,1527473
30.35,1527484
30.44,1527414
30.52,1527371
30.61,1527370
30.69,1527411
30.78,1527483
30.87,1527506
30.95,1527515
31.04,1527479
31.12,1527413
31.21,1527444
31.30,1527466
31.38,1527511
31.47,1527471
31.55,1527453
31.64,1527478
31.72,1527475
31.81,1527456
31.90,1527432
31.98,1527443
32.07,1527453
32.15,1527410
32.24,1527370
32.33,1527444
32.41,1527507
32.50,1527456
32.58,1527452
32.67,1527453
32.76,1527414
32.84,1527418
32.93,1527426
33.01,1527455
33.10,1527405
33.18,1527399
33.27,1527372
33.36,1527460
33.44,1527536
33.53,1527522
33.61,1527465
33.70,1527482
33.79,1527411
33.87,1527345
33.96,1527422
34.04,1527484
34.13,1527514
34.21,1527436
34.30,1527476
34.38,1527486
34.47,1527494
34.56,1527514
34.64,1527479
34.73,1527517
34.81,1527494
34.90,1527465
34.99,1527462
35.07,1527485
35.16,1527447
35.24,1527518
35.33,1527504
35.42,1527457
35.50,1527441
35.59,1527458
35.67,1527455
35.76,1527477
35.84,1527470
35.93,1527424
36.02,1527428
36.10,1527426
36.19,1527416
